name,relative_url,population,more_or_less_pop,arrests,more_or_less_arrests,los_angeles,new_york_city,chicago,average_full_time_officers,rate_of_force,town_name,county,patrol_area,full_url
"Evesham, Burlington",/database/pd-dept/evesham-burlington,239%,more likely,24%,less likely,14,56,56,72,This department uses force at higher rate than 415 police departments,Evesham,Burlington County,Patrol area: Evesham,http://force.nj.com/database/pd-dept/evesham-burlington
"Ewing, Mercer",/database/pd-dept/ewing-mercer,371%,more likely,12%,more likely,4,45,48,72,This department uses force at higher rate than 381 police departments,Ewing,Mercer County,Patrol area: Ewing,http://force.nj.com/database/pd-dept/ewing-mercer
"Fair Haven, Monmouth",/database/pd-dept/fair-haven-monmouth,N/A,Not found,N/A,Not found,0,6,7,13,This department uses force at lower rate than 351 police departments,Fair Haven,Monmouth County,Patrol area: Fair Haven,http://force.nj.com/database/pd-dept/fair-haven-monmouth
"Fairfield, Essex",/database/pd-dept/fairfield-essex,N/A,Not found,57%,less likely,0,20,21,35,This department uses force at higher rate than 308 police departments,Fairfield,Essex County,Patrol area: Fairfield,http://force.nj.com/database/pd-dept/fairfield-essex
"Fairlawn, Bergen",/database/pd-dept/fairlawn-bergen,498%,more likely,30%,less likely,0,18,19,57,This department uses force at lower rate than 305 police departments,Fairlawn,Bergen County,Patrol area: Fairlawn,http://force.nj.com/database/pd-dept/fairlawn-bergen
"Fairview, Bergen",/database/pd-dept/fairview-bergen,72%,less likely,42%,less likely,0,10,11,31,This department uses force at higher rate than 315 police departments,Fairview,Bergen County,Patrol area: Fairview,http://force.nj.com/database/pd-dept/fairview-bergen
"Fanwood, Union",/database/pd-dept/fanwood-union,390%,more likely,13%,less likely,0,5,5,17,This department uses force at higher rate than 407 police departments,Fanwood,Union County,Patrol area: Fanwood,http://force.nj.com/database/pd-dept/fanwood-union
"Far Hills, Somerset",/database/pd-dept/far-hills-somerset,N/A,Not found,N/A,Not found,0,1,1,6,This department uses force at lower rate than 449 police departments,Far Hills,Somerset County,Patrol area: Far Hills,http://force.nj.com/database/pd-dept/far-hills-somerset
"Flemington, Hunterdon",/database/pd-dept/flemington-hunterdon,223%,more likely,2%,more likely,0,9,9,14,This department uses force at higher rate than 330 police departments,Flemington,Hunterdon County,Patrol area: Flemington,http://force.nj.com/database/pd-dept/flemington-hunterdon
"Florence, Burlington",/database/pd-dept/florence-burlington,324%,more likely,17%,less likely,0,8,9,24,This department uses force at lower rate than 406 police departments,Florence,Burlington County,Patrol area: Florence,http://force.nj.com/database/pd-dept/florence-burlington
"Florham Park, Morris",/database/pd-dept/florham-park-morris,273%,more likely,43%,less likely,0,8,8,32,This department uses force at lower rate than 344 police departments,Florham Park,Morris County,Patrol area: Florham Park,http://force.nj.com/database/pd-dept/florham-park-morris
"Fort Lee, Bergen",/database/pd-dept/fort-lee-bergen,307%,more likely,5%,less likely,2,42,43,88,This department uses force at lower rate than 234 police departments,Fort Lee,Bergen County,Patrol area: Fort Lee,http://force.nj.com/database/pd-dept/fort-lee-bergen
"Franklin, Sussex",/database/pd-dept/franklin-sussex,15%,less likely,28%,less likely,0,9,9,14,This department uses force at lower rate than 339 police departments,Franklin,Sussex County,Patrol area: Franklin,http://force.nj.com/database/pd-dept/franklin-sussex
"Franklin Lakes, Bergen",/database/pd-dept/franklin-lakes-bergen,N/A,Not found,123%,more likely,0,6,6,22,This department uses force at lower rate than 292 police departments,Franklin Lakes,Bergen County,Patrol area: Franklin Lakes,http://force.nj.com/database/pd-dept/franklin-lakes-bergen
"Franklin, Gloucester",/database/pd-dept/franklin-gloucester,20%,more likely,56%,less likely,1,17,17,26,This department uses force at lower rate than 236 police departments,Franklin,Gloucester County,Patrol area: Franklin,http://force.nj.com/database/pd-dept/franklin-gloucester
"Franklin, Somerset",/database/pd-dept/franklin-somerset,202%,more likely,9%,more likely,1,45,49,103,This department uses force at higher rate than 307 police departments,Franklin,Somerset County,Patrol area: Franklin,http://force.nj.com/database/pd-dept/franklin-somerset
"Freehold Borough, Monmouth",/database/pd-dept/freehold-borough-monmouth,110%,more likely,44%,more likely,1,12,17,28,This department uses force at higher rate than 369 police departments,Freehold Borough,Monmouth County,Patrol area: Freehold Borough,http://force.nj.com/database/pd-dept/freehold-borough-monmouth
"Freehold Township, Monmouth",/database/pd-dept/freehold-township-monmouth,454%,more likely,89%,more likely,0,23,25,63,This department uses force at lower rate than 376 police departments,Freehold Township,Monmouth County,Patrol area: Freehold Township,http://force.nj.com/database/pd-dept/freehold-township-monmouth
"Frenchtown, Hunterdon",/database/pd-dept/frenchtown-hunterdon,N/A,Not found,N/A,Not found,0,2,2,3,This department uses force at lower rate than 431 police departments,Frenchtown,Hunterdon County,Patrol area: Frenchtown,http://force.nj.com/database/pd-dept/frenchtown-hunterdon
"Galloway, Atlantic",/database/pd-dept/galloway-atlantic,173%,more likely,19%,more likely,4,43,43,58,This department uses force at higher rate than 439 police departments,Galloway,Atlantic County,Patrol area: Galloway,http://force.nj.com/database/pd-dept/galloway-atlantic
"Garfield, Bergen",/database/pd-dept/garfield-bergen,95%,more likely,24%,less likely,2,28,29,62,This department uses force at higher rate than 302 police departments,Garfield,Bergen County,Patrol area: Garfield,http://force.nj.com/database/pd-dept/garfield-bergen
"Garwood, Union",/database/pd-dept/garwood-union,N/A,Not found,92%,more likely,0,6,6,16,This department uses force at lower rate than 241 police departments,Garwood,Union County,Patrol area: Garwood,http://force.nj.com/database/pd-dept/garwood-union
"Gibbsboro, Camden",/database/pd-dept/gibbsboro-camden,N/A,Not found,1%,more likely,0,5,6,8,This department uses force at higher rate than 395 police departments,Gibbsboro,Camden County,Patrol area: Gibbsboro,http://force.nj.com/database/pd-dept/gibbsboro-camden
"Glassboro, Gloucester",/database/pd-dept/glassboro-gloucester,354%,more likely,77%,more likely,25,40,41,45,This department uses force at higher rate than 434 police departments,Glassboro,Gloucester County,Patrol area: Glassboro,http://force.nj.com/database/pd-dept/glassboro-gloucester
"Glen Ridge, Essex",/database/pd-dept/glen-ridge-essex,2498%,more likely,67%,more likely,0,8,8,22,This department uses force at higher rate than 443 police departments,Glen Ridge,Essex County,Patrol area: Glen Ridge,http://force.nj.com/database/pd-dept/glen-ridge-essex
"Glen Rock, Bergen",/database/pd-dept/glen-rock-bergen,N/A,Not found,31%,less likely,0,11,11,22,This department uses force at lower rate than 359 police departments,Glen Rock,Bergen County,Patrol area: Glen Rock,http://force.nj.com/database/pd-dept/glen-rock-bergen
"Gloucester City, Camden",/database/pd-dept/gloucester-city-camden,449%,more likely,137%,more likely,4,14,18,28,This department uses force at lower rate than 253 police departments,Gloucester City,Camden County,Patrol area: Gloucester City,http://force.nj.com/database/pd-dept/gloucester-city-camden
"Gloucester Township, Camden",/database/pd-dept/gloucester-township-camden,270%,more likely,25%,more likely,23,71,76,119,This department uses force at higher rate than 400 police departments,Gloucester Township,Camden County,Patrol area: Gloucester Township,http://force.nj.com/database/pd-dept/gloucester-township-camden
"Green Brook, Somerset",/database/pd-dept/green-brook-somerset,293%,more likely,32%,less likely,1,11,11,22,This department uses force at higher rate than 438 police departments,Green Brook,Somerset County,Patrol area: Green Brook,http://force.nj.com/database/pd-dept/green-brook-somerset
"Greenwich, Gloucester",/database/pd-dept/greenwich-gloucester,501%,more likely,4%,less likely,0,8,8,18,This department uses force at lower rate than 334 police departments,Greenwich,Gloucester County,Patrol area: Greenwich,http://force.nj.com/database/pd-dept/greenwich-gloucester
"Greenwich, Warren",/database/pd-dept/greenwich-warren,N/A,Not found,N/A,Not found,0,0,1,10,This department uses force at lower rate than 270 police departments,Greenwich,Warren County,Patrol area: Greenwich,http://force.nj.com/database/pd-dept/greenwich-warren
"Guttenberg, Hudson",/database/pd-dept/guttenberg-hudson,92%,less likely,10%,less likely,1,11,12,24,This department uses force at higher rate than 355 police departments,Guttenberg,Hudson County,Patrol area: Guttenberg,http://force.nj.com/database/pd-dept/guttenberg-hudson
"Hackensack, Bergen",/database/pd-dept/hackensack-bergen,189%,more likely,216%,more likely,3,65,68,116,This department uses force at higher rate than 273 police departments,Hackensack,Bergen County,Patrol area: Hackensack,http://force.nj.com/database/pd-dept/hackensack-bergen
"Hackettstown, Warren",/database/pd-dept/hackettstown-warren,N/A,Not found,N/A,Not found,0,5,5,17,This department uses force at lower rate than 445 police departments,Hackettstown,Warren County,Patrol area: Hackettstown,http://force.nj.com/database/pd-dept/hackettstown-warren
"Haddon Heights, Camden",/database/pd-dept/haddon-heights-camden,N/A,Not found,18%,less likely,0,2,3,15,This department uses force at lower rate than 372 police departments,Haddon Heights,Camden County,Patrol area: Haddon Heights,http://force.nj.com/database/pd-dept/haddon-heights-camden
"Haddon &amp; Audubon Park, Camden",/database/pd-dept/haddon-camden,2052%,more likely,59%,more likely,0,10,10,26,This department uses force at lower rate than 354 police departments,Haddon,Camden County,Patrol area: Haddon &amp; Audubon Park,http://force.nj.com/database/pd-dept/haddon-camden
"Haddonfield &amp; Tavistock, Camden",/database/pd-dept/haddonfield-camden,N/A,Not found,191%,more likely,0,3,3,21,This department uses force at lower rate than 412 police departments,Haddonfield,Camden County,Patrol area: Haddonfield &amp; Tavistock,http://force.nj.com/database/pd-dept/haddonfield-camden
"Haledon, Passaic",/database/pd-dept/haledon-passaic,869%,more likely,242%,more likely,5,15,15,17,This department uses force at higher rate than 325 police departments,Haledon,Passaic County,Patrol area: Haledon,http://force.nj.com/database/pd-dept/haledon-passaic
"Hamburg, Sussex",/database/pd-dept/hamburg-sussex,N/A,Not found,32%,less likely,0,6,6,6,This department uses force at higher rate than 430 police departments,Hamburg,Sussex County,Patrol area: Hamburg,http://force.nj.com/database/pd-dept/hamburg-sussex
"Hamilton, Atlantic",/database/pd-dept/hamilton-atlantic,100%,more likely,11%,less likely,6,29,34,50,This department uses force at lower rate than 332 police departments,Hamilton,Atlantic County,Patrol area: Hamilton,http://force.nj.com/database/pd-dept/hamilton-atlantic
"Hamilton, Mercer",/database/pd-dept/hamilton-mercer,304%,more likely,23%,more likely,16,105,109,168,This department uses force at higher rate than 364 police departments,Hamilton,Mercer County,Patrol area: Hamilton,http://force.nj.com/database/pd-dept/hamilton-mercer
"Hammonton, Atlantic",/database/pd-dept/hammonton-atlantic,9%,more likely,40%,less likely,0,16,16,29,This department uses force at higher rate than 269 police departments,Hammonton,Atlantic County,Patrol area: Hammonton,http://force.nj.com/database/pd-dept/hammonton-atlantic
"Hanover, Morris",/database/pd-dept/hanover-morris,4005%,more likely,38%,more likely,1,11,11,29,This department uses force at lower rate than 287 police departments,Hanover,Morris County,Patrol area: Hanover,http://force.nj.com/database/pd-dept/hanover-morris
"Harding, Morris",/database/pd-dept/harding-morris,N/A,Not found,109%,more likely,0,3,3,10,This department uses force at lower rate than 275 police departments,Harding,Morris County,Patrol area: Harding,http://force.nj.com/database/pd-dept/harding-morris
"Hardyston, Sussex",/database/pd-dept/hardyston-sussex,N/A,Not found,16%,less likely,0,2,2,18,This department uses force at lower rate than 266 police departments,Hardyston,Sussex County,Patrol area: Hardyston,http://force.nj.com/database/pd-dept/hardyston-sussex
"Harrington Park, Bergen",/database/pd-dept/harrington-park-bergen,N/A,Not found,N/A,Not found,0,0,0,11,This department uses force at lower rate than 335 police departments,Harrington Park,Bergen County,Patrol area: Harrington Park,http://force.nj.com/database/pd-dept/harrington-park-bergen
"Harrison, Gloucester",/database/pd-dept/harrison-gloucester,N/A,Not found,101%,more likely,0,6,7,17,This department uses force at lower rate than 390 police departments,Harrison,Gloucester County,Patrol area: Harrison,http://force.nj.com/database/pd-dept/harrison-gloucester
"Harrison, Hudson",/database/pd-dept/harrison-hudson,23%,more likely,65%,less likely,0,21,21,36,This department uses force at higher rate than 335 police departments,Harrison,Hudson County,Patrol area: Harrison,http://force.nj.com/database/pd-dept/harrison-hudson
"Harvey Cedars, Ocean",/database/pd-dept/harvey-cedars-ocean,N/A,Not found,511%,more likely,0,2,2,8,This department uses force at higher rate than 384 police departments,Harvey Cedars,Ocean County,Patrol area: Harvey Cedars,http://force.nj.com/database/pd-dept/harvey-cedars-ocean
"Hasbrouck Heights, Bergen",/database/pd-dept/hasbrouck-heights-bergen,556%,more likely,17%,less likely,0,9,10,29,This department uses force at higher rate than 268 police departments,Hasbrouck Heights,Bergen County,Patrol area: Hasbrouck Heights,http://force.nj.com/database/pd-dept/hasbrouck-heights-bergen
"Haworth, Bergen",/database/pd-dept/haworth-bergen,N/A,Not found,N/A,Not found,0,2,2,11,This department uses force at lower rate than 375 police departments,Haworth,Bergen County,Patrol area: Haworth,http://force.nj.com/database/pd-dept/haworth-bergen
"Hawthorne, Passaic",/database/pd-dept/hawthorne-passaic,211%,more likely,39%,less likely,2,11,11,30,This department uses force at higher rate than 312 police departments,Hawthorne,Passaic County,Patrol area: Hawthorne,http://force.nj.com/database/pd-dept/hawthorne-passaic
"Hazlet, Monmouth",/database/pd-dept/hazlet-monmouth,73%,more likely,47%,less likely,0,12,13,39,This department uses force at lower rate than 368 police departments,Hazlet,Monmouth County,Patrol area: Hazlet,http://force.nj.com/database/pd-dept/hazlet-monmouth
"Helmetta, Middlesex",/database/pd-dept/helmetta-middlesex,N/A,Not found,26%,more likely,1,2,2,6,This department uses force at higher rate than 428 police departments,Helmetta,Middlesex County,Patrol area: Helmetta,http://force.nj.com/database/pd-dept/helmetta-middlesex
"High Bridge, Hunterdon",/database/pd-dept/high-bridge-hunterdon,N/A,Not found,38%,more likely,0,4,4,6,This department uses force at higher rate than 259 police departments,High Bridge,Hunterdon County,Patrol area: High Bridge,http://force.nj.com/database/pd-dept/high-bridge-hunterdon
"Highland Park, Middlesex",/database/pd-dept/highland-park-middlesex,1033%,more likely,51%,more likely,0,9,10,27,This department uses force at higher rate than 331 police departments,Highland Park,Middlesex County,Patrol area: Highland Park,http://force.nj.com/database/pd-dept/highland-park-middlesex
"Highlands, Monmouth",/database/pd-dept/highlands-monmouth,163%,more likely,52%,less likely,0,8,8,14,This department uses force at higher rate than 287 police departments,Highlands,Monmouth County,Patrol area: Highlands,http://force.nj.com/database/pd-dept/highlands-monmouth
"Hightstown, Mercer",/database/pd-dept/hightstown-mercer,102%,more likely,30%,less likely,1,8,8,13,This department uses force at higher rate than 349 police departments,Hightstown,Mercer County,Patrol area: Hightstown,http://force.nj.com/database/pd-dept/hightstown-mercer
"Hillsborough, Somerset",/database/pd-dept/hillsborough-somerset,143%,more likely,10%,less likely,0,22,24,51,This department uses force at higher rate than 286 police departments,Hillsborough,Somerset County,Patrol area: Hillsborough,http://force.nj.com/database/pd-dept/hillsborough-somerset
"Hillsdale, Bergen",/database/pd-dept/hillsdale-bergen,N/A,Not found,304%,more likely,0,6,6,18,This department uses force at lower rate than 265 police departments,Hillsdale,Bergen County,Patrol area: Hillsdale,http://force.nj.com/database/pd-dept/hillsdale-bergen
"Hillside, Union",/database/pd-dept/hillside-union,75%,more likely,74%,more likely,3,29,29,64,This department uses force at higher rate than 332 police departments,Hillside,Union County,Patrol area: Hillside,http://force.nj.com/database/pd-dept/hillside-union
"Ho-Ho-Kus, Bergen",/database/pd-dept/ho-ho-kus-bergen,N/A,Not found,10%,more likely,0,3,3,16,This department uses force at higher rate than 299 police departments,Ho-Ho-Kus,Bergen County,Patrol area: Ho-Ho-Kus,http://force.nj.com/database/pd-dept/ho-ho-kus-bergen
"Hoboken, Hudson",/database/pd-dept/hoboken-hudson,1543%,more likely,23%,more likely,15,95,97,127,This department uses force at higher rate than 440 police departments,Hoboken,Hudson County,Patrol area: Hoboken,http://force.nj.com/database/pd-dept/hoboken-hudson
"Holmdel, Monmouth",/database/pd-dept/holmdel-monmouth,349%,more likely,64%,less likely,0,11,11,38,This department uses force at lower rate than 341 police departments,Holmdel,Monmouth County,Patrol area: Holmdel,http://force.nj.com/database/pd-dept/holmdel-monmouth
"Hopatcong, Sussex",/database/pd-dept/hopatcong-sussex,375%,more likely,78%,more likely,3,18,18,24,This department uses force at higher rate than 444 police departments,Hopatcong,Sussex County,Patrol area: Hopatcong,http://force.nj.com/database/pd-dept/hopatcong-sussex
"Hopewell Township &amp; Hopewell Borough, Mercer",/database/pd-dept/hopewell-township-mercer,69%,more likely,57%,less likely,0,16,16,30,This department uses force at lower rate than 310 police departments,Hopewell Township,Mercer County,Patrol area: Hopewell Township &amp; Hopewell Borough,http://force.nj.com/database/pd-dept/hopewell-township-mercer
"Howell, Monmouth",/database/pd-dept/howell-monmouth,396%,more likely,9%,more likely,9,44,45,84,This department uses force at higher rate than 336 police departments,Howell,Monmouth County,Patrol area: Howell,http://force.nj.com/database/pd-dept/howell-monmouth
"Independence, Warren",/database/pd-dept/independence-warren,N/A,Not found,N/A,Not found,0,3,3,8,This department uses force at higher rate than 266 police departments,Independence,Warren County,Patrol area: Independence,http://force.nj.com/database/pd-dept/independence-warren
"Irvington, Essex",/database/pd-dept/irvington-essex,27%,less likely,46%,more likely,8,97,107,153,This department uses force at higher rate than 238 police departments,Irvington,Essex County,Patrol area: Irvington,http://force.nj.com/database/pd-dept/irvington-essex
"Island Heights, Ocean",/database/pd-dept/island-heights-ocean,N/A,Not found,N/A,Not found,0,1,1,5,This department uses force at lower rate than 364 police departments,Island Heights,Ocean County,Patrol area: Island Heights,http://force.nj.com/database/pd-dept/island-heights-ocean
"Jackson, Ocean",/database/pd-dept/jackson-ocean,180%,more likely,13%,less likely,5,58,58,82,This department uses force at higher rate than 398 police departments,Jackson,Ocean County,Patrol area: Jackson,http://force.nj.com/database/pd-dept/jackson-ocean
"Jamesburg, Middlesex",/database/pd-dept/jamesburg-middlesex,15%,less likely,43%,less likely,0,7,8,13,This department uses force at higher rate than 295 police departments,Jamesburg,Middlesex County,Patrol area: Jamesburg,http://force.nj.com/database/pd-dept/jamesburg-middlesex
"Jefferson, Morris",/database/pd-dept/jefferson-morris,270%,more likely,12%,less likely,0,19,21,36,This department uses force at higher rate than 354 police departments,Jefferson,Morris County,Patrol area: Jefferson,http://force.nj.com/database/pd-dept/jefferson-morris
"Jersey City, Hudson",/database/pd-dept/jersey-city-hudson,489%,more likely,192%,more likely,13,249,257,832,This department uses force at lower rate than 345 police departments,Jersey City,Hudson County,Patrol area: Jersey City,http://force.nj.com/database/pd-dept/jersey-city-hudson
"Keansburg, Monmouth",/database/pd-dept/keansburg-monmouth,306%,more likely,90%,more likely,1,16,21,32,This department uses force at lower rate than 380 police departments,Keansburg,Monmouth County,Patrol area: Keansburg,http://force.nj.com/database/pd-dept/keansburg-monmouth
"Kearny, Hudson",/database/pd-dept/kearny-hudson,151%,more likely,7%,less likely,0,27,40,104,This department uses force at lower rate than 252 police departments,Kearny,Hudson County,Patrol area: Kearny,http://force.nj.com/database/pd-dept/kearny-hudson
"Kenilworth, Union",/database/pd-dept/kenilworth-union,221%,more likely,22%,more likely,0,5,6,24,This department uses force at lower rate than 268 police departments,Kenilworth,Union County,Patrol area: Kenilworth,http://force.nj.com/database/pd-dept/kenilworth-union
"Keyport, Monmouth",/database/pd-dept/keyport-monmouth,N/A,Not found,67%,less likely,0,5,5,16,This department uses force at lower rate than 423 police departments,Keyport,Monmouth County,Patrol area: Keyport,http://force.nj.com/database/pd-dept/keyport-monmouth
"Kinnelon, Morris",/database/pd-dept/kinnelon-morris,N/A,Not found,130%,more likely,0,4,4,16,This department uses force at higher rate than 310 police departments,Kinnelon,Morris County,Patrol area: Kinnelon,http://force.nj.com/database/pd-dept/kinnelon-morris
"Lacey, Ocean",/database/pd-dept/lacey-ocean,1439%,more likely,105%,more likely,5,26,27,42,This department uses force at higher rate than 240 police departments,Lacey,Ocean County,Patrol area: Lacey,http://force.nj.com/database/pd-dept/lacey-ocean
"Lake Como, Monmouth",/database/pd-dept/lake-como-monmouth,340%,more likely,182%,more likely,3,8,9,5,This department uses force at lower rate than 320 police departments,Lake Como,Monmouth County,Patrol area: Lake Como,http://force.nj.com/database/pd-dept/lake-como-monmouth
"Lakehurst, Ocean",/database/pd-dept/lakehurst-ocean,575%,more likely,211%,more likely,0,7,8,10,This department uses force at higher rate than 279 police departments,Lakehurst,Ocean County,Patrol area: Lakehurst,http://force.nj.com/database/pd-dept/lakehurst-ocean
"Lakewood, Ocean",/database/pd-dept/lakewood-ocean,2104%,more likely,138%,more likely,26,75,81,119,This department uses force at higher rate than 421 police departments,Lakewood,Ocean County,Patrol area: Lakewood,http://force.nj.com/database/pd-dept/lakewood-ocean
"Lambertville, Hunterdon",/database/pd-dept/lambertville-hunterdon,N/A,Not found,N/A,Not found,0,4,4,10,This department uses force at lower rate than 307 police departments,Lambertville,Hunterdon County,Patrol area: Lambertville,http://force.nj.com/database/pd-dept/lambertville-hunterdon
"Laurel Springs, Camden",/database/pd-dept/laurel-springs-camden,N/A,Not found,N/A,Not found,0,1,2,7,This department uses force at lower rate than 392 police departments,Laurel Springs,Camden County,Patrol area: Laurel Springs,http://force.nj.com/database/pd-dept/laurel-springs-camden
"Lavallette, Ocean",/database/pd-dept/lavallette-ocean,N/A,Not found,94%,more likely,0,5,5,12,This department uses force at higher rate than 441 police departments,Lavallette,Ocean County,Patrol area: Lavallette,http://force.nj.com/database/pd-dept/lavallette-ocean
"Lawrence, Mercer",/database/pd-dept/lawrence-mercer,521%,more likely,38%,less likely,10,46,49,58,This department uses force at higher rate than 271 police departments,Lawrence,Mercer County,Patrol area: Lawrence,http://force.nj.com/database/pd-dept/lawrence-mercer
"Lebanon Township, Hunterdon",/database/pd-dept/lebanon-hunterdon,N/A,Not found,N/A,Not found,0,1,1,8,This department uses force at lower rate than 322 police departments,Lebanon,Hunterdon County,Patrol area: Lebanon Township,http://force.nj.com/database/pd-dept/lebanon-hunterdon
"Leonia, Bergen",/database/pd-dept/leonia-bergen,N/A,Not found,224%,more likely,0,5,5,17,This department uses force at lower rate than 418 police departments,Leonia,Bergen County,Patrol area: Leonia,http://force.nj.com/database/pd-dept/leonia-bergen
"Lincoln Park, Morris",/database/pd-dept/lincoln-park-morris,N/A,Not found,N/A,Not found,0,8,8,23,This department uses force at lower rate than 361 police departments,Lincoln Park,Morris County,Patrol area: Lincoln Park,http://force.nj.com/database/pd-dept/lincoln-park-morris
"Linden, Union",/database/pd-dept/linden-union,64%,more likely,38%,more likely,6,42,46,126,This department uses force at higher rate than 300 police departments,Linden,Union County,Patrol area: Linden,http://force.nj.com/database/pd-dept/linden-union
"Lindenwold, Camden",/database/pd-dept/lindenwold-camden,70%,more likely,37%,more likely,15,34,36,38,This department uses force at higher rate than 436 police departments,Lindenwold,Camden County,Patrol area: Lindenwold,http://force.nj.com/database/pd-dept/lindenwold-camden
"Linwood, Atlantic",/database/pd-dept/linwood-atlantic,882%,more likely,24%,less likely,0,6,6,16,This department uses force at lower rate than 273 police departments,Linwood,Atlantic County,Patrol area: Linwood,http://force.nj.com/database/pd-dept/linwood-atlantic
"Little Egg Harbor, Ocean",/database/pd-dept/little-egg-harbor-ocean,4500%,more likely,31%,more likely,5,32,32,41,This department uses force at higher rate than 357 police departments,Little Egg Harbor,Ocean County,Patrol area: Little Egg Harbor,http://force.nj.com/database/pd-dept/little-egg-harbor-ocean
"Little Falls, Passaic",/database/pd-dept/little-falls-passaic,131%,more likely,2%,less likely,1,9,9,25,This department uses force at lower rate than 369 police departments,Little Falls,Passaic County,Patrol area: Little Falls,http://force.nj.com/database/pd-dept/little-falls-passaic
"Little Ferry, Bergen",/database/pd-dept/little-ferry-bergen,357%,more likely,103%,more likely,0,10,10,25,This department uses force at higher rate than 412 police departments,Little Ferry,Bergen County,Patrol area: Little Ferry,http://force.nj.com/database/pd-dept/little-ferry-bergen
"Little Silver, Monmouth",/database/pd-dept/little-silver-monmouth,N/A,Not found,19%,less likely,0,5,5,16,This department uses force at higher rate than 405 police departments,Little Silver,Monmouth County,Patrol area: Little Silver,http://force.nj.com/database/pd-dept/little-silver-monmouth
"Livingston, Essex",/database/pd-dept/livingston-essex,3424%,more likely,31%,less likely,2,21,22,68,This department uses force at lower rate than 291 police departments,Livingston,Essex County,Patrol area: Livingston,http://force.nj.com/database/pd-dept/livingston-essex
"Lodi, Bergen",/database/pd-dept/lodi-bergen,22%,less likely,42%,less likely,1,21,24,42,This department uses force at lower rate than 348 police departments,Lodi,Bergen County,Patrol area: Lodi,http://force.nj.com/database/pd-dept/lodi-bergen
"Logan, Gloucester",/database/pd-dept/logan-gloucester,201%,more likely,Not found,Not found,0,6,9,18,This department uses force at lower rate than 257 police departments,Logan,Gloucester County,Patrol area: Logan,http://force.nj.com/database/pd-dept/logan-gloucester
"Long Beach  &amp; Barnegat Light, Ocean",/database/pd-dept/long-beach-ocean,N/A,Not found,N/A,Not found,0,12,12,37,This department uses force at lower rate than 277 police departments,Long Beach,Ocean County,Patrol area: Long Beach  &amp; Barnegat Light,http://force.nj.com/database/pd-dept/long-beach-ocean
"Long Branch, Monmouth",/database/pd-dept/long-branch-monmouth,152%,more likely,9%,more likely,16,69,75,80,This department uses force at higher rate than 459 police departments,Long Branch,Monmouth County,Patrol area: Long Branch,http://force.nj.com/database/pd-dept/long-branch-monmouth
"Long Hill, Morris",/database/pd-dept/long-hill-morris,N/A,Not found,N/A,Not found,0,3,3,23,This department uses force at lower rate than 447 police departments,Long Hill,Morris County,Patrol area: Long Hill,http://force.nj.com/database/pd-dept/long-hill-morris
"Longport, Atlantic",/database/pd-dept/longport-atlantic,N/A,Not found,N/A,Not found,0,2,3,12,This department uses force at higher rate than 276 police departments,Longport,Atlantic County,Patrol area: Longport,http://force.nj.com/database/pd-dept/longport-atlantic
"Lopatcong, Warren",/database/pd-dept/lopatcong-warren,N/A,Not found,274%,more likely,0,6,7,14,This department uses force at higher rate than 339 police departments,Lopatcong,Warren County,Patrol area: Lopatcong,http://force.nj.com/database/pd-dept/lopatcong-warren
"Lower Alloways Creek &amp; Elsinboro, Salem",/database/pd-dept/lower-alloways-creek-salem,N/A,Not found,N/A,Not found,0,2,2,11,This department uses force at lower rate than 358 police departments,Lower Alloways Creek,Salem County,Patrol area: Lower Alloways Creek &amp; Elsinboro,http://force.nj.com/database/pd-dept/lower-alloways-creek-salem
"Lower Township, Cape May",/database/pd-dept/lower-township-cape-may,163%,more likely,47%,less likely,1,28,30,42,This department uses force at lower rate than 298 police departments,Lower Township,Cape May County,Patrol area: Lower Township,http://force.nj.com/database/pd-dept/lower-township-cape-may
"Lumberton, Burlington",/database/pd-dept/lumberton-burlington,533%,more likely,123%,more likely,1,11,11,16,This department uses force at lower rate than 295 police departments,Lumberton,Burlington County,Patrol area: Lumberton,http://force.nj.com/database/pd-dept/lumberton-burlington
"Lyndhurst, Bergen",/database/pd-dept/lyndhurst-bergen,857%,more likely,48%,more likely,1,19,20,49,This department uses force at higher rate than 309 police departments,Lyndhurst,Bergen County,Patrol area: Lyndhurst,http://force.nj.com/database/pd-dept/lyndhurst-bergen
"Madison, Morris",/database/pd-dept/madison-morris,199%,more likely,9%,less likely,1,10,11,27,This department uses force at higher rate than 288 police departments,Madison,Morris County,Patrol area: Madison,http://force.nj.com/database/pd-dept/madison-morris
"Magnolia, Camden",/database/pd-dept/magnolia-camden,138%,more likely,4%,less likely,0,4,5,11,This department uses force at lower rate than 323 police departments,Magnolia,Camden County,Patrol area: Magnolia,http://force.nj.com/database/pd-dept/magnolia-camden
"Mahwah, Bergen",/database/pd-dept/mahwah-bergen,615%,more likely,91%,more likely,0,18,19,52,This department uses force at lower rate than 382 police departments,Mahwah,Bergen County,Patrol area: Mahwah,http://force.nj.com/database/pd-dept/mahwah-bergen
"Manalapan, Monmouth",/database/pd-dept/manalapan-monmouth,627%,more likely,35%,less likely,0,9,10,53,This department uses force at lower rate than 314 police departments,Manalapan,Monmouth County,Patrol area: Manalapan,http://force.nj.com/database/pd-dept/manalapan-monmouth
