name,url,full_url,important_numbers,likelihood_force_by_pop,likelihood_force_by_arrests
"Kearny, Hudson",/database/pd-dept/kearny-hudson,http://force.nj.com/database/pd-dept/kearny-hudson,"['151%', '7%']",151%,7%
"Kenilworth, Union",/database/pd-dept/kenilworth-union,http://force.nj.com/database/pd-dept/kenilworth-union,"['221%', '22%']",221%,22%
"Keyport, Monmouth",/database/pd-dept/keyport-monmouth,http://force.nj.com/database/pd-dept/keyport-monmouth,"['N/A', '67%']",N/A,67%
"Kinnelon, Morris",/database/pd-dept/kinnelon-morris,http://force.nj.com/database/pd-dept/kinnelon-morris,"['N/A', '130%']",N/A,130%
"Lacey, Ocean",/database/pd-dept/lacey-ocean,http://force.nj.com/database/pd-dept/lacey-ocean,"['1439%', '105%']",1439%,105%
"Lake Como, Monmouth",/database/pd-dept/lake-como-monmouth,http://force.nj.com/database/pd-dept/lake-como-monmouth,"['340%', '182%']",340%,182%
"Lakehurst, Ocean",/database/pd-dept/lakehurst-ocean,http://force.nj.com/database/pd-dept/lakehurst-ocean,"['575%', '211%']",575%,211%
"Lakewood, Ocean",/database/pd-dept/lakewood-ocean,http://force.nj.com/database/pd-dept/lakewood-ocean,"['2104%', '138%']",2104%,138%
"Lambertville, Hunterdon",/database/pd-dept/lambertville-hunterdon,http://force.nj.com/database/pd-dept/lambertville-hunterdon,"['N/A', 'N/A']",N/A,N/A
"Laurel Springs, Camden",/database/pd-dept/laurel-springs-camden,http://force.nj.com/database/pd-dept/laurel-springs-camden,"['N/A', 'N/A']",N/A,N/A
"Lavallette, Ocean",/database/pd-dept/lavallette-ocean,http://force.nj.com/database/pd-dept/lavallette-ocean,"['N/A', '94%']",N/A,94%
"Lawrence, Mercer",/database/pd-dept/lawrence-mercer,http://force.nj.com/database/pd-dept/lawrence-mercer,"['521%', '38%']",521%,38%
"Lebanon Township, Hunterdon",/database/pd-dept/lebanon-hunterdon,http://force.nj.com/database/pd-dept/lebanon-hunterdon,"['N/A', 'N/A']",N/A,N/A
"Leonia, Bergen",/database/pd-dept/leonia-bergen,http://force.nj.com/database/pd-dept/leonia-bergen,"['N/A', '224%']",N/A,224%
"Lincoln Park, Morris",/database/pd-dept/lincoln-park-morris,http://force.nj.com/database/pd-dept/lincoln-park-morris,"['N/A', 'N/A']",N/A,N/A
"Linden, Union",/database/pd-dept/linden-union,http://force.nj.com/database/pd-dept/linden-union,"['64%', '38%']",64%,38%
"Lindenwold, Camden",/database/pd-dept/lindenwold-camden,http://force.nj.com/database/pd-dept/lindenwold-camden,"['70%', '37%']",70%,37%
"Linwood, Atlantic",/database/pd-dept/linwood-atlantic,http://force.nj.com/database/pd-dept/linwood-atlantic,"['882%', '24%']",882%,24%
"Little Egg Harbor, Ocean",/database/pd-dept/little-egg-harbor-ocean,http://force.nj.com/database/pd-dept/little-egg-harbor-ocean,"['4500%', '31%']",4500%,31%
"Little Falls, Passaic",/database/pd-dept/little-falls-passaic,http://force.nj.com/database/pd-dept/little-falls-passaic,"['131%', '2%']",131%,2%
"Little Ferry, Bergen",/database/pd-dept/little-ferry-bergen,http://force.nj.com/database/pd-dept/little-ferry-bergen,"['357%', '103%']",357%,103%
"Little Silver, Monmouth",/database/pd-dept/little-silver-monmouth,http://force.nj.com/database/pd-dept/little-silver-monmouth,"['N/A', '19%']",N/A,19%
"Livingston, Essex",/database/pd-dept/livingston-essex,http://force.nj.com/database/pd-dept/livingston-essex,"['3424%', '31%']",3424%,31%
"Lodi, Bergen",/database/pd-dept/lodi-bergen,http://force.nj.com/database/pd-dept/lodi-bergen,"['22%', '42%']",22%,42%
"Logan, Gloucester",/database/pd-dept/logan-gloucester,http://force.nj.com/database/pd-dept/logan-gloucester,['201%'],201%,
"Long Beach  & Barnegat Light, Ocean",/database/pd-dept/long-beach-ocean,http://force.nj.com/database/pd-dept/long-beach-ocean,"['N/A', 'N/A']",N/A,N/A
"Long Branch, Monmouth",/database/pd-dept/long-branch-monmouth,http://force.nj.com/database/pd-dept/long-branch-monmouth,"['152%', '9%']",152%,9%
"Long Hill, Morris",/database/pd-dept/long-hill-morris,http://force.nj.com/database/pd-dept/long-hill-morris,"['N/A', 'N/A']",N/A,N/A
"Longport, Atlantic",/database/pd-dept/longport-atlantic,http://force.nj.com/database/pd-dept/longport-atlantic,"['N/A', 'N/A']",N/A,N/A
"Lopatcong, Warren",/database/pd-dept/lopatcong-warren,http://force.nj.com/database/pd-dept/lopatcong-warren,"['N/A', '274%']",N/A,274%
"Lower Alloways Creek & Elsinboro, Salem",/database/pd-dept/lower-alloways-creek-salem,http://force.nj.com/database/pd-dept/lower-alloways-creek-salem,"['N/A', 'N/A']",N/A,N/A
"Lower Township, Cape May",/database/pd-dept/lower-township-cape-may,http://force.nj.com/database/pd-dept/lower-township-cape-may,"['163%', '47%']",163%,47%
"Lumberton, Burlington",/database/pd-dept/lumberton-burlington,http://force.nj.com/database/pd-dept/lumberton-burlington,"['533%', '123%']",533%,123%
"Lyndhurst, Bergen",/database/pd-dept/lyndhurst-bergen,http://force.nj.com/database/pd-dept/lyndhurst-bergen,"['857%', '48%']",857%,48%
"Madison, Morris",/database/pd-dept/madison-morris,http://force.nj.com/database/pd-dept/madison-morris,"['199%', '9%']",199%,9%
"Magnolia, Camden",/database/pd-dept/magnolia-camden,http://force.nj.com/database/pd-dept/magnolia-camden,"['138%', '4%']",138%,4%
"Mahwah, Bergen",/database/pd-dept/mahwah-bergen,http://force.nj.com/database/pd-dept/mahwah-bergen,"['615%', '91%']",615%,91%
"Manalapan, Monmouth",/database/pd-dept/manalapan-monmouth,http://force.nj.com/database/pd-dept/manalapan-monmouth,"['627%', '35%']",627%,35%
"Manasquan, Monmouth",/database/pd-dept/manasquan-monmouth,http://force.nj.com/database/pd-dept/manasquan-monmouth,"['556%', '62%']",556%,62%
"Manchester, Ocean",/database/pd-dept/manchester-ocean,http://force.nj.com/database/pd-dept/manchester-ocean,"['153%', '12%']",153%,12%
"Mansfield, Burlington",/database/pd-dept/mansfield-burlington,http://force.nj.com/database/pd-dept/mansfield-burlington,"['N/A', 'N/A']",N/A,N/A
"Mansfield, Warren",/database/pd-dept/mansfield-warren,http://force.nj.com/database/pd-dept/mansfield-warren,"['18%', '41%']",18%,41%
"Mantoloking, Ocean",/database/pd-dept/mantoloking-ocean,http://force.nj.com/database/pd-dept/mantoloking-ocean,"['N/A', 'N/A']",N/A,N/A
"Mantua, Gloucester",/database/pd-dept/mantua-gloucester,http://force.nj.com/database/pd-dept/mantua-gloucester,"['357%', '22%']",357%,22%
"Manville, Somerset",/database/pd-dept/manville-somerset,http://force.nj.com/database/pd-dept/manville-somerset,"['916%', '102%']",916%,102%
"Maple Shade, Burlington",/database/pd-dept/maple-shade-burlington,http://force.nj.com/database/pd-dept/maple-shade-burlington,"['194%', '4%']",194%,4%
"Maplewood, Essex",/database/pd-dept/maplewood-essex,http://force.nj.com/database/pd-dept/maplewood-essex,"['368%', '7%']",368%,7%
"Margate, Atlantic",/database/pd-dept/margate-atlantic,http://force.nj.com/database/pd-dept/margate-atlantic,"['N/A', '19%']",N/A,19%
"Marlboro, Monmouth",/database/pd-dept/marlboro-monmouth,http://force.nj.com/database/pd-dept/marlboro-monmouth,['451%'],451%,
"Matawan, Monmouth",/database/pd-dept/matawan-monmouth,http://force.nj.com/database/pd-dept/matawan-monmouth,"['160%', '6%']",160%,6%
"Maywood, Bergen",/database/pd-dept/maywood-bergen,http://force.nj.com/database/pd-dept/maywood-bergen,"['449%', '19%']",449%,19%
"Medford Lakes, Burlington",/database/pd-dept/medford-lakes-burlington,http://force.nj.com/database/pd-dept/medford-lakes-burlington,"['N/A', 'N/A']",N/A,N/A
"Medford, Burlington",/database/pd-dept/medford-burlington,http://force.nj.com/database/pd-dept/medford-burlington,"['297%', '16%']",297%,16%
"Mendham Borough, Morris",/database/pd-dept/mendham-borough-morris,http://force.nj.com/database/pd-dept/mendham-borough-morris,"['N/A', '13%']",N/A,13%
"Mendham Township, Morris",/database/pd-dept/mendham-township-morris,http://force.nj.com/database/pd-dept/mendham-township-morris,"['N/A', '127%']",N/A,127%
"Merchantville, Camden",/database/pd-dept/merchantville-camden,http://force.nj.com/database/pd-dept/merchantville-camden,"['N/A', '17%']",N/A,17%
"Metuchen, Middlesex",/database/pd-dept/metuchen-middlesex,http://force.nj.com/database/pd-dept/metuchen-middlesex,"['275%', '34%']",275%,34%
"Middle, Cape May",/database/pd-dept/middle-cape-may,http://force.nj.com/database/pd-dept/middle-cape-may,"['223%', '99%']",223%,99%
"Middlesex, Middlesex",/database/pd-dept/middlesex-middlesex,http://force.nj.com/database/pd-dept/middlesex-middlesex,"['8%', '46%']",8%,46%
"Middletown, Monmouth",/database/pd-dept/middletown-monmouth,http://force.nj.com/database/pd-dept/middletown-monmouth,"['1021%', '56%']",1021%,56%
"Midland Park, Bergen",/database/pd-dept/midland-park-bergen,http://force.nj.com/database/pd-dept/midland-park-bergen,"['N/A', 'N/A']",N/A,N/A
"Millburn, Essex",/database/pd-dept/millburn-essex,http://force.nj.com/database/pd-dept/millburn-essex,"['N/A', '76%']",N/A,76%
"Milltown, Middlesex",/database/pd-dept/milltown-middlesex,http://force.nj.com/database/pd-dept/milltown-middlesex,"['N/A', '35%']",N/A,35%
"Millville, Cumberland",/database/pd-dept/millville-cumberland,http://force.nj.com/database/pd-dept/millville-cumberland,"['581%', '138%']",581%,138%
"Monmouth Beach, Monmouth",/database/pd-dept/monmouth-beach-monmouth,http://force.nj.com/database/pd-dept/monmouth-beach-monmouth,"['N/A', '57%']",N/A,57%
"Monroe, Gloucester",/database/pd-dept/monroe-gloucester,http://force.nj.com/database/pd-dept/monroe-gloucester,"['91%', '1%']",91%,1%
"Monroe, Middlesex",/database/pd-dept/monroe-middlesex,http://force.nj.com/database/pd-dept/monroe-middlesex,"['22%', '63%']",22%,63%
"Montclair, Essex",/database/pd-dept/montclair-essex,http://force.nj.com/database/pd-dept/montclair-essex,"['490%', '15%']",490%,15%
"Montgomery, Somerset",/database/pd-dept/montgomery-somerset,http://force.nj.com/database/pd-dept/montgomery-somerset,"['N/A', 'N/A']",N/A,N/A
"Montvale, Bergen",/database/pd-dept/montvale-bergen,http://force.nj.com/database/pd-dept/montvale-bergen,"['741%', '60%']",741%,60%
"Montville, Morris",/database/pd-dept/montville-morris,http://force.nj.com/database/pd-dept/montville-morris,"['59%', '76%']",59%,76%
"Moonachie & Teterboro, Bergen",/database/pd-dept/moonachie-bergen,http://force.nj.com/database/pd-dept/moonachie-bergen,"['N/A', 'N/A']",N/A,N/A
"Moorestown, Burlington",/database/pd-dept/moorestown-burlington,http://force.nj.com/database/pd-dept/moorestown-burlington,"['842%', '6%']",842%,6%
"Morris Plains, Morris",/database/pd-dept/morris-plains-morris,http://force.nj.com/database/pd-dept/morris-plains-morris,"['N/A', '10%']",N/A,10%
"Morris Township, Morris",/database/pd-dept/morris-township-morris,http://force.nj.com/database/pd-dept/morris-township-morris,"['429%', '25%']",429%,25%
"Morristown, Morris",/database/pd-dept/morristown-morris,http://force.nj.com/database/pd-dept/morristown-morris,"['112%', '3%']",112%,3%
"Mount Arlington, Morris",/database/pd-dept/mount-arlington-morris,http://force.nj.com/database/pd-dept/mount-arlington-morris,"['N/A', 'N/A']",N/A,N/A
"Mount Ephraim, Camden",/database/pd-dept/mount-ephraim-camden,http://force.nj.com/database/pd-dept/mount-ephraim-camden,"['101%', '60%']",101%,60%
"Mount Holly, Burlington",/database/pd-dept/mount-holly-burlington,http://force.nj.com/database/pd-dept/mount-holly-burlington,"['408%', '100%']",408%,100%
"Mount Laurel, Burlington",/database/pd-dept/mount-laurel-burlington,http://force.nj.com/database/pd-dept/mount-laurel-burlington,"['392%', '3%']",392%,3%
"Mount Olive, Morris",/database/pd-dept/mount-olive-morris,http://force.nj.com/database/pd-dept/mount-olive-morris,"['31%', '56%']",31%,56%
"Mountain Lakes, Morris",/database/pd-dept/mountain-lakes-morris,http://force.nj.com/database/pd-dept/mountain-lakes-morris,"['N/A', 'N/A']",N/A,N/A
"Mountainside, Union",/database/pd-dept/mountainside-union,http://force.nj.com/database/pd-dept/mountainside-union,"['N/A', '17%']",N/A,17%
"Mullica, Atlantic",/database/pd-dept/mullica-atlantic,http://force.nj.com/database/pd-dept/mullica-atlantic,"['N/A', '11%']",N/A,11%
"Neptune City, Monmouth",/database/pd-dept/neptune-city-monmouth,http://force.nj.com/database/pd-dept/neptune-city-monmouth,"['330%', '28%']",330%,28%
"Neptune Township, Monmouth",/database/pd-dept/neptune-township-monmouth,http://force.nj.com/database/pd-dept/neptune-township-monmouth,"['295%', '79%']",295%,79%
"Netcong, Morris",/database/pd-dept/netcong-morris,http://force.nj.com/database/pd-dept/netcong-morris,"['N/A', '22%']",N/A,22%
"New Brunswick, Middlesex",/database/pd-dept/new-brunswick-middlesex,http://force.nj.com/database/pd-dept/new-brunswick-middlesex,"['268%', '78%']",268%,78%
"New Milford, Bergen",/database/pd-dept/new-milford-bergen,http://force.nj.com/database/pd-dept/new-milford-bergen,"['48%', '64%']",48%,64%
"New Providence, Union",/database/pd-dept/new-providence-union,http://force.nj.com/database/pd-dept/new-providence-union,"['N/A', 'N/A']",N/A,N/A
"Newark, Essex",/database/pd-dept/newark-essex,http://force.nj.com/database/pd-dept/newark-essex,"['133%', '203%']",133%,203%
"Newfield, Gloucester",/database/pd-dept/newfield-gloucester,http://force.nj.com/database/pd-dept/newfield-gloucester,"['N/A', 'N/A']",N/A,N/A
"Newton, Sussex",/database/pd-dept/newton-sussex,http://force.nj.com/database/pd-dept/newton-sussex,"['221%', '175%']",221%,175%
"North Arlington, Bergen",/database/pd-dept/north-arlington-bergen,http://force.nj.com/database/pd-dept/north-arlington-bergen,"['126%', '69%']",126%,69%
"North Bergen, Hudson",/database/pd-dept/north-bergen-hudson,http://force.nj.com/database/pd-dept/north-bergen-hudson,"['3%', '92%']",3%,92%
"North Brunswick, Middlesex",/database/pd-dept/north-brunswick-middlesex,http://force.nj.com/database/pd-dept/north-brunswick-middlesex,"['206%', '33%']",206%,33%
"North Caldwell, Essex",/database/pd-dept/north-caldwell-essex,http://force.nj.com/database/pd-dept/north-caldwell-essex,"['N/A', 'N/A']",N/A,N/A
"North Haledon, Passaic",/database/pd-dept/north-haledon-passaic,http://force.nj.com/database/pd-dept/north-haledon-passaic,"['N/A', '114%']",N/A,114%
"North Hanover, Burlington",/database/pd-dept/north-hanover-burlington,http://force.nj.com/database/pd-dept/north-hanover-burlington,"['0%', '4%']",0%,4%
"North Plainfield, Somerset",/database/pd-dept/north-plainfield-somerset,http://force.nj.com/database/pd-dept/north-plainfield-somerset,"['8%', '18%']",8%,18%
"North Wildwood, Cape May",/database/pd-dept/north-wildwood-cape-may,http://force.nj.com/database/pd-dept/north-wildwood-cape-may,"['179%', '18%']",179%,18%
"Northfield City, Atlantic",/database/pd-dept/northfield-atlantic,http://force.nj.com/database/pd-dept/northfield-atlantic,"['N/A', '95%']",N/A,95%
"Northvale & Rockleigh Borough, Bergen",/database/pd-dept/northvale-bergen,http://force.nj.com/database/pd-dept/northvale-bergen,"['N/A', 'N/A']",N/A,N/A
"Norwood, Bergen",/database/pd-dept/norwood-bergen,http://force.nj.com/database/pd-dept/norwood-bergen,"['N/A', 'N/A']",N/A,N/A
"Nutley, Essex",/database/pd-dept/nutley-essex,http://force.nj.com/database/pd-dept/nutley-essex,"['603%', '58%']",603%,58%
"Oakland, Bergen",/database/pd-dept/oakland-bergen,http://force.nj.com/database/pd-dept/oakland-bergen,"['N/A', 'N/A']",N/A,N/A
"Oaklyn, Camden",/database/pd-dept/oaklyn-camden,http://force.nj.com/database/pd-dept/oaklyn-camden,"['N/A', '41%']",N/A,41%
"Ocean City, Cape May",/database/pd-dept/ocean-city-cape-may,http://force.nj.com/database/pd-dept/ocean-city-cape-may,"['1289%', '13%']",1289%,13%
"Ocean Gate, Ocean",/database/pd-dept/ocean-gate-ocean,http://force.nj.com/database/pd-dept/ocean-gate-ocean,"['N/A', 'N/A']",N/A,N/A
"Oceanport, Monmouth",/database/pd-dept/oceanport-monmouth,http://force.nj.com/database/pd-dept/oceanport-monmouth,"['1311%', '20%']",1311%,20%
"Ocean Township, Monmouth",/database/pd-dept/ocean-township-monmouth,http://force.nj.com/database/pd-dept/ocean-township-monmouth,"['423%', '29%']",423%,29%
"Ocean Township, Ocean",/database/pd-dept/ocean-township-ocean,http://force.nj.com/database/pd-dept/ocean-township-ocean,"['7519%', '9%']",7519%,9%
"Ogdensburg, Sussex",/database/pd-dept/ogdensburg-sussex,http://force.nj.com/database/pd-dept/ogdensburg-sussex,"['N/A', 'N/A']",N/A,N/A
"Old Bridge, Middlesex",/database/pd-dept/old-bridge-middlesex,http://force.nj.com/database/pd-dept/old-bridge-middlesex,"['201%', '24%']",201%,24%
"Old Tappan, Bergen",/database/pd-dept/old-tappan-bergen,http://force.nj.com/database/pd-dept/old-tappan-bergen,"['N/A', 'N/A']",N/A,N/A
"Oradell, Bergen",/database/pd-dept/oradell-bergen,http://force.nj.com/database/pd-dept/oradell-bergen,"['N/A', 'N/A']",N/A,N/A
"Orange, Essex",/database/pd-dept/orange-essex,http://force.nj.com/database/pd-dept/orange-essex,"['76%', '38%']",76%,38%
"Palisades Park, Bergen",/database/pd-dept/palisades-park-bergen,http://force.nj.com/database/pd-dept/palisades-park-bergen,"['N/A', '18%']",N/A,18%
"Palmyra, Burlington",/database/pd-dept/palmyra-burlington,http://force.nj.com/database/pd-dept/palmyra-burlington,"['210%', '4%']",210%,4%
"Paramus, Bergen",/database/pd-dept/paramus-bergen,http://force.nj.com/database/pd-dept/paramus-bergen,"['1530%', '58%']",1530%,58%
"Park Ridge, Bergen",/database/pd-dept/park-ridge-bergen,http://force.nj.com/database/pd-dept/park-ridge-bergen,"['26%', '47%']",26%,47%
"Parsippany-Troy, Morris",/database/pd-dept/parsippany-troy-morris,http://force.nj.com/database/pd-dept/parsippany-troy-morris,"['93%', '9%']",93%,9%
"Passaic, Passaic",/database/pd-dept/passaic-passaic,http://force.nj.com/database/pd-dept/passaic-passaic,"['67%', '158%']",67%,158%
"Paterson, Passaic",/database/pd-dept/paterson-passaic,http://force.nj.com/database/pd-dept/paterson-passaic,"['78%', '459%']",78%,459%
"Paulsboro, Gloucester",/database/pd-dept/paulsboro-gloucester,http://force.nj.com/database/pd-dept/paulsboro-gloucester,"['210%', '41%']",210%,41%
"Peapack-Gladstone, Somerset",/database/pd-dept/peapack-gladstone-somerset,http://force.nj.com/database/pd-dept/peapack-gladstone-somerset,"['N/A', 'N/A']",N/A,N/A
"Pemberton Borough, Burlington",/database/pd-dept/pemberton-borough-burlington,http://force.nj.com/database/pd-dept/pemberton-borough-burlington,"['181%', '26%']",181%,26%
"Pemberton Township, Burlington",/database/pd-dept/pemberton-township-burlington,http://force.nj.com/database/pd-dept/pemberton-township-burlington,"['147%', '8%']",147%,8%
"Pennington, Mercer",/database/pd-dept/pennington-mercer,http://force.nj.com/database/pd-dept/pennington-mercer,"['N/A', 'N/A']",N/A,N/A
"Penns Grove, Salem",/database/pd-dept/penns-grove-salem,http://force.nj.com/database/pd-dept/penns-grove-salem,"['173%', '59%']",173%,59%
"Pennsauken, Camden",/database/pd-dept/pennsauken-camden,http://force.nj.com/database/pd-dept/pennsauken-camden,"['106%', '71%']",106%,71%
"Pennsville, Salem",/database/pd-dept/pennsville-salem,http://force.nj.com/database/pd-dept/pennsville-salem,"['1845%', '19%']",1845%,19%
"Pequannock, Morris",/database/pd-dept/pequannock-morris,http://force.nj.com/database/pd-dept/pequannock-morris,"['1673%', '36%']",1673%,36%
"Perth Amboy, Middlesex",/database/pd-dept/perth-amboy-middlesex,http://force.nj.com/database/pd-dept/perth-amboy-middlesex,['65%'],65%,
"Phillipsburg & Alpha, Warren",/database/pd-dept/phillipsburg-warren,http://force.nj.com/database/pd-dept/phillipsburg-warren,"['232%', '40%']",232%,40%
"Pine Beach, Ocean",/database/pd-dept/pine-beach-ocean,http://force.nj.com/database/pd-dept/pine-beach-ocean,"['N/A', 'N/A']",N/A,N/A
"Pine Hill, Camden",/database/pd-dept/pine-hill-camden,http://force.nj.com/database/pd-dept/pine-hill-camden,"['127%', '25%']",127%,25%
"Piscataway, Middlesex",/database/pd-dept/piscataway-middlesex,http://force.nj.com/database/pd-dept/piscataway-middlesex,"['22%', '37%']",22%,37%
"Pitman, Gloucester",/database/pd-dept/pitman-gloucester,http://force.nj.com/database/pd-dept/pitman-gloucester,"['706%', '56%']",706%,56%
"Plainfield, Union",/database/pd-dept/plainfield-union,http://force.nj.com/database/pd-dept/plainfield-union,"['38%', '66%']",38%,66%
"Plainsboro, Middlesex",/database/pd-dept/plainsboro-middlesex,http://force.nj.com/database/pd-dept/plainsboro-middlesex,"['178%', '12%']",178%,12%
"Pleasantville, Atlantic",/database/pd-dept/pleasantville-atlantic,http://force.nj.com/database/pd-dept/pleasantville-atlantic,"['44%', '32%']",44%,32%
"Plumsted, Ocean",/database/pd-dept/plumsted-ocean,http://force.nj.com/database/pd-dept/plumsted-ocean,"['N/A', '89%']",N/A,89%
"Pohatcong, Warren",/database/pd-dept/pohatcong-warren,http://force.nj.com/database/pd-dept/pohatcong-warren,"['N/A', '153%']",N/A,153%
"Point Pleasant Beach, Ocean",/database/pd-dept/point-pleasant-beach-ocean,http://force.nj.com/database/pd-dept/point-pleasant-beach-ocean,"['2331%', '10%']",2331%,10%
"Point Pleasant, Ocean",/database/pd-dept/point-pleasant-ocean,http://force.nj.com/database/pd-dept/point-pleasant-ocean,"['N/A', 'N/A']",N/A,N/A
"Pompton Lakes, Passaic",/database/pd-dept/pompton-lakes-passaic,http://force.nj.com/database/pd-dept/pompton-lakes-passaic,"['29976%', '385%']",29976%,385%
"Princeton & Princeton Borough (2012 only), Mercer",/database/pd-dept/princeton-mercer,http://force.nj.com/database/pd-dept/princeton-mercer,"['493%', '57%']",493%,57%
"Prospect Park, Passaic",/database/pd-dept/prospect-park-passaic,http://force.nj.com/database/pd-dept/prospect-park-passaic,"['1%', '162%']",1%,162%
"Rahway, Union",/database/pd-dept/rahway-union,http://force.nj.com/database/pd-dept/rahway-union,"['23%', '3%']",23%,3%
"Ramsey, Bergen",/database/pd-dept/ramsey-bergen,http://force.nj.com/database/pd-dept/ramsey-bergen,"['5987%', '55%']",5987%,55%
"Randolph, Morris",/database/pd-dept/randolph-morris,http://force.nj.com/database/pd-dept/randolph-morris,"['249%', '27%']",249%,27%
"Raritan, Hunterdon",/database/pd-dept/raritan-hunterdon,http://force.nj.com/database/pd-dept/raritan-hunterdon,"['775%', '36%']",775%,36%
"Raritan, Somerset",/database/pd-dept/raritan-somerset,http://force.nj.com/database/pd-dept/raritan-somerset,"['1568%', '83%']",1568%,83%
"Readington, Hunterdon",/database/pd-dept/readington-hunterdon,http://force.nj.com/database/pd-dept/readington-hunterdon,"['4444%', '117%']",4444%,117%
"Red Bank, Monmouth",/database/pd-dept/red-bank-monmouth,http://force.nj.com/database/pd-dept/red-bank-monmouth,"['174%', '79%']",174%,79%
"Ridgefield Park, Bergen",/database/pd-dept/ridgefield-park-bergen,http://force.nj.com/database/pd-dept/ridgefield-park-bergen,"['32%', '40%']",32%,40%
"Ridgefield, Bergen",/database/pd-dept/ridgefield-bergen,http://force.nj.com/database/pd-dept/ridgefield-bergen,"['N/A', 'N/A']",N/A,N/A
"Ridgewood, Bergen",/database/pd-dept/ridgewood-bergen,http://force.nj.com/database/pd-dept/ridgewood-bergen,"['405%', '35%']",405%,35%
"Ringwood, Passaic",/database/pd-dept/ringwood-passaic,http://force.nj.com/database/pd-dept/ringwood-passaic,"['419%', '66%']",419%,66%
"River Edge, Bergen",/database/pd-dept/river-edge-bergen,http://force.nj.com/database/pd-dept/river-edge-bergen,"['N/A', 'N/A']",N/A,N/A
"River Vale, Bergen",/database/pd-dept/river-vale-bergen,http://force.nj.com/database/pd-dept/river-vale-bergen,"['N/A', 'N/A']",N/A,N/A
"Riverdale, Morris",/database/pd-dept/riverdale-morris,http://force.nj.com/database/pd-dept/riverdale-morris,"['N/A', '32%']",N/A,32%
"Riverside, Burlington",/database/pd-dept/riverside-burlington,http://force.nj.com/database/pd-dept/riverside-burlington,"['160%', '53%']",160%,53%
"Riverton, Burlington",/database/pd-dept/riverton-burlington,http://force.nj.com/database/pd-dept/riverton-burlington,"['N/A', 'N/A']",N/A,N/A
"Robbinsville, Mercer",/database/pd-dept/robbinsville-mercer,http://force.nj.com/database/pd-dept/robbinsville-mercer,"['328%', '31%']",328%,31%
"Rochelle Park, Bergen",/database/pd-dept/rochelle-park-bergen,http://force.nj.com/database/pd-dept/rochelle-park-bergen,"['1975%', '4%']",1975%,4%
"Rockaway Borough, Morris",/database/pd-dept/rockaway-borough-morris,http://force.nj.com/database/pd-dept/rockaway-borough-morris,"['N/A', '57%']",N/A,57%
"Rockaway Township, Morris",/database/pd-dept/rockaway-township-morris,http://force.nj.com/database/pd-dept/rockaway-township-morris,"['1077%', '151%']",1077%,151%
"Roseland, Essex",/database/pd-dept/roseland-essex,http://force.nj.com/database/pd-dept/roseland-essex,"['N/A', 'N/A']",N/A,N/A
"Roselle Park, Union",/database/pd-dept/roselle-park-union,http://force.nj.com/database/pd-dept/roselle-park-union,"['449%', '25%']",449%,25%
"Roselle, Union",/database/pd-dept/roselle-union,http://force.nj.com/database/pd-dept/roselle-union,"['46%', '12%']",46%,12%
"Roxbury, Morris",/database/pd-dept/roxbury-morris,http://force.nj.com/database/pd-dept/roxbury-morris,"['41%', '65%']",41%,65%
"Rumson, Monmouth",/database/pd-dept/rumson-monmouth,http://force.nj.com/database/pd-dept/rumson-monmouth,"['N/A', 'N/A']",N/A,N/A
"Runnemede, Camden",/database/pd-dept/runnemede-camden,http://force.nj.com/database/pd-dept/runnemede-camden,"['N/A', 'N/A']",N/A,N/A
"Rutherford, Bergen",/database/pd-dept/rutherford-bergen,http://force.nj.com/database/pd-dept/rutherford-bergen,"['636%', '143%']",636%,143%
"Saddle Brook, Bergen",/database/pd-dept/saddle-brook-bergen,http://force.nj.com/database/pd-dept/saddle-brook-bergen,"['N/A', '119%']",N/A,119%
"Saddle River, Bergen",/database/pd-dept/saddle-river-bergen,http://force.nj.com/database/pd-dept/saddle-river-bergen,"['N/A', 'N/A']",N/A,N/A
"Salem City, Salem",/database/pd-dept/salem-city-salem,http://force.nj.com/database/pd-dept/salem-city-salem,['112%'],112%,
"Sayreville, Middlesex",/database/pd-dept/sayreville-middlesex,http://force.nj.com/database/pd-dept/sayreville-middlesex,"['32%', '7%']",32%,7%
"Scotch Plains, Union",/database/pd-dept/scotch-plains-union,http://force.nj.com/database/pd-dept/scotch-plains-union,"['276%', '17%']",276%,17%
"Sea Bright, Monmouth",/database/pd-dept/sea-bright-monmouth,http://force.nj.com/database/pd-dept/sea-bright-monmouth,"['275%', '184%']",275%,184%
"Sea Girt, Monmouth",/database/pd-dept/sea-girt-monmouth,http://force.nj.com/database/pd-dept/sea-girt-monmouth,"['497%', '76%']",497%,76%
"Sea Isle City, Cape May",/database/pd-dept/sea-isle-city-cape-may,http://force.nj.com/database/pd-dept/sea-isle-city-cape-may,"['729%', '49%']",729%,49%
"Seaside Heights, Ocean",/database/pd-dept/seaside-heights-ocean,http://force.nj.com/database/pd-dept/seaside-heights-ocean,"['772%', '42%']",772%,42%
"Seaside Park, Ocean",/database/pd-dept/seaside-park-ocean,http://force.nj.com/database/pd-dept/seaside-park-ocean,"['4364%', '24%']",4364%,24%
"Secaucus, Hudson",/database/pd-dept/secaucus-hudson,http://force.nj.com/database/pd-dept/secaucus-hudson,"['305%', '35%']",305%,35%
